numeroruc,canal,grupo_propension_cartera,prioridad,experimento,rol_experimento,grupo_gestion_asignado,score_propension
115C18A5527EE6DABF8B66642E4F687778913C876B4FA668CC2FB9D8C42CA8CE,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.64429747328939
F49F31B054F003F1FF237B90176ADA14009EC823700B4BC81B7358275705A5B6,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6440192843205373
C8F17F186767885358D6219043C4E1B2C2857AF7C710D32E1B26D287B98D44E3,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6436469647472028
0C12DF2C8A91B8F7F8F85538F9653990C06928C9B61CAD53EE74C0007461E5EA,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6425759015211888
B7ED5E21906191E0F98F8B75F37E1F47123471EE29271225559AF64F1FAB69DE,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6415899877573533
DD0EDA8DFB67CCB4C660B3A2E44DA34CF0E197E3D5230E4423A68308037B11FF,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6411058706931146
EB61A91F87F299C4DBE1BC7D5B29CD0C44975692899F423C47BDDFB1FE599393,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6402928181262544
FE9379B226AB313429D8F849831AE18AA7F9BFD674680487C728FD89FADD92FC,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6399830009816075
08C19FFF86589FE92A84176CACB48374CD34EE303F00F0874D0E6ACCB5612DFD,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6399028990692446
59D4B9413C2E341B5D054ACBB8285C29D9B173835617A89A31F20D5E475BB720,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6392240102083068
1F1B9202AF288C74108C3356ACBB2451CDFFB9796114980CA1D0ADDE61F87DCA,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6387956134545637
9DC805A866A8FD9B05F85A3FB9ACBA12DF8ED4E5D312A8F83EF3348673AC0A9F,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6382684101088668
C904937D21F4378263B0E98E6BA930D68648888A8BDDD67CE5B9BFF7B9B395D3,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6379792307845089
FD26B01AEAB6A493DEF804B67715FE1C405E80780D6EA9F876DB93E4906D2D7B,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6362408297080806
954AB6D8510518E815B5C511FCB7CA80AA40B5301A7487F499F99B6C6DB85868,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6352453519021342
126F7C70F22B199A477753B94E42672CF6AFF79C38AB96F2FAD6420BCF0B2C93,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6351027156961845
A22A144B951A569D28D43B4DFE88CD9B1EC06914A5A2FAF88E11C3E47E6C66CF,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6340880615346942
07AA9EDD2D087B0EF741F5B6B5C45F85084604D9DFC0FBECD6329C7141AF79EF,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.633616344493144
429E0E8E48FE7526223775AAA0772D205F20034A28722046999EA9CFD2A59E02,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6335997374822874
B75907C1370FEE6DAD544CB1C75513493B0ED179DDB8E4E877BEB7127B40B77A,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6328854522750115
767E2631997A365B01400208DC6F3C882623DA05D11964D727304CE62F3DAD74,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6327642595915172
A1A42985F58F2B9CF99050105FA96AFE8A0E934D75D2D4C1EFD036E4B8DBC29F,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6327614441534826
3D89F929AB4F818E5F2CF0FD5FD66C01715BF39F5853ED6429C7A95A3F790882,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6324929389089163
26E5C6ACDFC0FCA2AE9B45AAE3643963CBDCF8A094842A1CAADD56916BE94F8F,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.632258426908493
EB5322C8C5F761569DFBE0E8C6268AE1036B97B41CF1EFCA31ABAF0614371FF3,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6321161377436045
D75116549365D6C85FC14569F0CCAB079CA3902FFEA8C5635DC2647EF8B59680,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6319561367943
F8C977C5FCE29DDD3FB8871EDB14731708F4BE27A43F7CA0A460092B0DEFC96A,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6316244397050301
562049899164A95A8E4196AB6C159DE26F8B9224684BA10AD478E3DB54FE563B,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.631606599422183
B81E9F7F59744214810C5C55EAEA489D288C1CB9D604A578B18D784285E84ED2,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6313255163795651
2FC4A30B70597F9DE08755AD370AA1F77B0EA5DEFE621C4487606E604A28C157,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6312914561973137
8DF4D93C99E4AB84926933B8673E5C32C20586B99DCC45000E5304E627798E5C,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6310331677297857
55D5EC6A8CF81BEDEC277CF56EA7F24686A050DCB0056EE4B16F006DCCEB2094,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.63061731760196
BCFEA92F698506D3FEDD30659F257FF347E4D681E1433513461E7D3243B879FA,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6294173343463002
B12EFB02729FCD944757982806F8D6C0A7BE2CE508B3C8A5C8311ED712F66226,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6292565652229576
E2B844A23166B29AE34416FC9AC357795DC20B0B8B29E536286702B0D0317293,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.628600413709547
DF9B5948CD29AC392C3AB1975843B5C9ABA46CA1E0AD6B26B29A7BD73ACB73FD,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6285610740739446
DF5FA6F00FB3F53050EAB7F9931D12B5CB7EDD74E39BEBEF4ECCD8F41FB39327,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6279352041663835
250F1EB72E8A56571ABC41BD8F4025FFF6F59FCE299E0FA10982EEEA961C7788,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6278715417609453
2F1F709A8DA0483CDC8DE0DAACF094312103FCF447E0A7134D488383DB470505,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6278488585040345
1FD6D8C6FCB9B9A449270D25684948D8FB5A8FAE7E7C41DF6A6EF04308E1B44E,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6277564204031204
A4E130EF226A6A92F3C6ECCF6AC6DEC1C186DBE68724C9AB550FD82DE44C80C9,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6276981963826286
B60EC4B67E6F152ACFBD71E0B678A5855541DD410CFD4A257B823795081E308F,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6276134266894466
576D0D5836EE29A7B21F78C3F85A225E251E3D408D95D645FA8701102ACB92AE,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6274638661383809
289DC74CB8A4D3FF0156B7E50D59DA96BB018669171A22604D380151B142789A,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6267853540548121
E91E4394D5E22006165782196F1B35D6BB619EA7B37BB83B0DA08CA4FEC5CAC5,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6264303086736981
0963579030F3355BDC3DAFB3AB11057F99A5CDC4209B8D82DEC6FD666DDE4009,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6260632892684322
043048FFEADED9CBD77875476D57080738709A2A710AFE6E71492F0A50C683C4,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.6259582285575402
9618C1AD8B4ACE5EB7146BC2997E05B3FB31706267FF5CE277CEB5A032AEB183,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6256889550340875
B51897E14C118AA723067B5E1A8160411C1F59E73FCCC290EEB7BE421C65364C,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.625563841428677
2E005EF8ECB0C57579F598841BBA48251FA86B1F94A45ABDA6B008CD4A2E5243,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6253225480253468
62220B620E562250793C3D78FCB2E8498BCF8BA8AE36BB99025488A1C6EF2FFB,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6252256155538752
E3D913FE12270E0087861D3CDFD8FF7C91AF5F91608171338E24F42930A8BCE9,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,CONTROL,P2,0.624741342872603
2BB3CE48C09A62BE731DC7BB19E83EC647C1AEFF9216C272D17F74E82DED2361,VIRTUAL,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6244507965751117
FAD4942C7F860DF062CB768A17846C51B21A4B4704B0F0E89F6E6DA3D307EE80,TIENDAS,1. MUY ALTO,P1,EXP_P1_vs_P2,PILOTO,P1,0.6242696280012281
