"PERIODO","NUMERORUC","COD_CREDITO","CANAL_FINAL","CAMPANA_DESEM","TASA_DESEMBOLSO","COLOCACION_neta","FECHA_DESEMBOLSADO","SQ"
"202402","EA772317F79EB74C004642056DA5996F1AD806C1733037674382C109E0628AF8","10248745","TLV","IMPULSO MYPERU","15.0","90004.5","2024-02-28","1"
"202411","8036931F132312C38C64FE668FC8396F94267608A35D83B76C5D8204E8F1C081","10262362","TIENDAS","Recurrente Ágil CEM","22.8","100005.0","2024-11-05","1"
"202402","4CAA89BB25D7B982F204BC87B3FE2DEF1BB4CB974B3C2FCDB6DE4867FABE0678","10248269","TIENDAS","IMPULSO MYPERU","14.5","90004.5","2024-02-23","1"
"202503","D1C0FF1F0B5CACB05012DF8E0BA727E0EC34EC2620067DF57B14A5695FBCA83B","10266649","TIENDAS","41. Ampliacion","18.0","90004.5","2025-03-27","1"
"202504","B546F3BA26973BE81ED79D6CE69BBCAD7515B4EDF8DCBE0910C93AF8942C7C4C","10267246","TIENDAS","Nuevo Pre-aprobado","20.5","96004.8","2025-04-23","1"
"202504","FF6738920261A2DF51AE32173CAE584E28831F84CF311064FCB88AA5E90F09D8","10267268","TLV","Nuevo Aprobado EN","18.0","60509.0","2025-04-23","1"
"202507","1615ADA0FFD92CB8B5E9384B0E27EBA05EB7356FF395AA496A1AB58736E57647","10269977","TLV","Nuevo Aprobado EN","19.0","200010.0","2025-07-25","1"
